ID,CAPA_ID,ESTILO_ID,TIPO_ID,GEOJSON,NOMBRE,DESCRIPCION,ESTADO,ELIMINADO
232,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-64.98911752, -18.30943005], [-64.98917172, -18.31003476], [-64.98917585, -18.31039608], [-64.9886186, -18.31046512], [-64.98859023, -18.31046542], [-64.98829485, -18.30944766], [-64.98854105, -18.3094722], [-64.98911752, -18.30943005]]]}, ""properties"": {}}",AIQUILE - THOLA MAYU - SIN CLASIFICAR (2),,,
233,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.00317404, -18.28571362], [-65.00340338, -18.28509691], [-65.00268288, -18.28494185], [-65.00221225, -18.28595858], [-65.00257448, -18.28620773], [-65.00317404, -18.28571362]]]}, ""properties"": {}}",AIQUILE - THOLA MAYU - SIN CLASIFICAR (3),,,
234,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-64.97954854, -18.3379414], [-64.98038225, -18.3388813], [-64.98075946, -18.33794689], [-64.9809107, -18.33793628], [-64.89539201, -18.33879678], [-64.9328287, -18.338195], [-64.97965557, -18.33820227], [-64.97777718, -18.33939619], [-64.89346939, -18.34033366], [-64.97882094, -18.33967444], [-64.97954854, -18.3379414]]]}, ""properties"": {}}",AIQUILE - PIRHUA PIRHUA - SIN CLASIFICAR,,,
235,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.64589896, -17.39246493]}, ""properties"": {}}",TIRAQUE - RECARGAS HIDRICAS TIRAQUE - SIN CLASIFICAR,,,
236,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.64589896, -17.39246493]}, ""properties"": {}}",TIRAQUE - RECARGAS HIDRICAS TIRAQUE - SIN CLASIFICAR (2),,,
237,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.65028285, -17.3780119]}, ""properties"": {}}",TIRAQUE - LAGUNILLAS - SIN CLASIFICAR,,,
238,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-66.00904109, -17.07341548]}, ""properties"": {}}",COLOMI - TABLAS MONTE - SIN CLASIFICAR,,,
239,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.93934267, -17.15971905]}, ""properties"": {}}",COLOMI - SUB CENTRAL ASERRADERO - SIN CLASIFICAR,,,
240,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.96937654, -17.13859395]}, ""properties"": {}}",COLOMI - CHULLUMANI - SIN CLASIFICAR,,,
241,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.91916435, -17.10058574]}, ""properties"": {}}",COLOMI - ALTO CORANI - SIN CLASIFICAR,,,
242,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.90061939, -17.23334481]}, ""properties"": {}}",COLOMI - HACHI - SIN CLASIFICAR,,,
243,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.9462632, -17.25001749]}, ""properties"": {}}",COLOMI - KICHKA MUQU - SIN CLASIFICAR,,,
244,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.87706567, -17.33410481]}, ""properties"": {}}",COLOMI - LIRIUNI - SIN CLASIFICAR,,,
245,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.67567385, -17.86426906]}, ""properties"": {}}",VILA VILA - SIVINGANI ALTO - PROTECCION Y RESTAURACION DE FUENTES DE AGUA Y SUELOS,,,
246,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.64108319, -17.91915203]}, ""properties"": {}}",VILA VILA - MULLU KUCHU - PROTECCION Y RESTAURACION DE FUENTES DE AGUA Y SUELOS,,,
247,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.64642705, -17.90864872]}, ""properties"": {}}",VILA VILA - MULLU KUCHU - PROTECCION Y RESTAURACION DE FUENTES DE AGUA Y SUELOS (2),,,
248,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.65471321, -17.9538252]}, ""properties"": {}}",VILA VILA - MULU FALDA - PROTECCION Y RESTAURACION DE FUENTES DE AGUA Y SUELOS,,,
249,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.65048569, -17.9582268]}, ""properties"": {}}",VILA VILA - MULU FALDA - PROTECCION Y RESTAURACION DE FUENTES DE AGUA Y SUELOS (2),,,
250,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.61103608, -17.98979227]}, ""properties"": {}}",VILA VILA - CAROMA - PROTECCION Y RESTAURACION DE FUENTES DE AGUA Y SUELOS,,,
